jp443;A;35
bruh;A;35
bruh;A;3524
ton;A;32
ton;A;35
rfenomeno;A;3489
rfenomeno;A;3524
ton;A;3524
neto;A;3524
ton;A;3462
ygomes;A;3489
ygomes;A;350217
ygomes;A;43
ygomes;A;44
ygomes;A;349698
ygomes;A;3460
ygomes;A;3540
ygomes;A;777
ygomes;A;3524
ygomes;A;710
ygomes;A;3462
ygomes;A;35
ygomes;A;3554
ygomes;A;3502
ygomes;A;3474
ton;A;777
ton;A;33474
ton;A;3518
ton;A;3509
ton;A;43
ton;A;44
phenrique;A;35
rfenomeno;A;35
mjackson;A;35
ljames;A;35
drock;A;35
monteg;F;3531
monteg;F;3493
monteg;F;3524
monteg;A;3489
monteg;A;35
monteg;A;777
jdark;A;43
jdark;A;44
jdark;F;349698
jdark;A;3481
monteg;A;33474
monteg;A;3496100
monteg;A;35104
rfenomeno;A;35104
rfenomeno;A;777
rfenomeno;A;33474
rfenomeno;A;330
jdark;A;46
jdark;A;33474
jdark;A;777
tantio;A;3496100
tantio;A;3489
tantio;A;3509
tantio;A;46
tantio;A;35
tantio;A;777
tantio;A;47
kaaka;A;3509
ygomes;A;3556
tantio;A;33
ygomes;A;3547
ygomes;A;3527
